502 Blues
Across The Alley From The Alamo
Afro Blue
All Of Me
Armando's Rhumba
Autumn Leaves
Avalon
Backstage Sally
Ballade
Baubles, Bangles And Beads
Beatrice
Beautiful Friendship, A
Beautiful Love
Bemsha Swing
Best Things In Life Are Free, The
Bill Bailey
Birk's Works
Blue Bossa
Blue In Green
Blue Lou
Blues For Alice
Blues For Wood
Bluesette
Boo Boo's Birthday
Booker's Waltz
Bossa Antigua
Boy Next Door
Bright Mississippi
Broadway
Brotherhood Of Man
Candy
Central Park West
Chucho
Contemplation
Cool One, The
Corcovado
Dancing In The Dark
Dearly Beloved
Don't Worry 'Bout Me
Donna Lee
Equinox
Exactly Like You
Fine And Dandy
Fine Romance, A
Fools Rush In
Footprints
Four On Six
Freight Trane
Friday The 13th
Funkallero
Gary's Notebook
Girl Talk
Glad To Be Unhappy
Good Life, The
Got A Match?
Hackensack
Half Nelson
Hot House
How High The Moon
Hungaria
I Can't Believe...You're In Love...
I Fall In Love Too Easily
I Love Paris
I Love You
I Wish I Knew How It Would Feel To Be Free
I'll Close My Eyes
I've Found A New Baby
I've Found A New Baby v2
I've Got A Crush On You
Idle Moments
If You Ever Should Leave
If You Never Come To Me
In A Little Spanish Town
In A Mellow Tone (In A Mellotone)
In A Shanty In Old Shanty Town
Interplay
Israel
It's Been A Long Long Time
Jackie-ing
Jeannie's Song
Jersey Bounce
Jody Grind, The
Just A Gigolo
Just Friends
Just In Time
Lady Bird
Leaving
Lennie's Pennies
Light Blue
Little Boat (O Barquinho)
Look For The Silver Lining
Mac The Knife
Minor Mood
Minor Strain
Move
Mr. P.C.
My Ideal
My Melancholy Baby
Night Dreamer
Nothing Personal
Nuages
O Grande Amor
Old Country, The
On The Trail
Paper Doll
Peace
Pent Up House
Recordame
Red Clay
Remember
Rose Room
Serenade To A Cuckoo
Serenity
Shadow Of Your Smile, The
Shine
Simone
Smile
So Danco Samba
So Nice (Summer Samba)
Solar
Someday My Prince Will Come
Song For My Father
St. Thomas
Stella By Starlight
Struttin' With Some Barbecue
Subconscious Lee
Sugar
Summertime
Sunny
Sweet Georgia Bright
Take The A Train
Them There Eyes
This Can't Be Love
Time On My Hands
Tune Up
United
Valse Hot
Wayne's Thang
We Will Meet Again
Weaver Of Dreams, A
What Is This Thing Called Love
When The Saints Go Marching In
When You're Smilin'
Why Do I Love You?
Why Don't You Do Right?
Witch Hunt
Work Song
Yesterdays
You Stepped Out Of A Dream
Zingaro (Retrato Em Branco E Preto)
