title,key,style,tempo,checked,audio_produced,chords,composers
Tangerine,F,,,,,"['Gm7', 'C7', 'F6', 'Bb7', 'Am7', 'D7', 'Gm7', 'C7', 'Gm7', 'C7', 'F^7', 'D7', 'Gm7', 'C7', 'F6', 'B%7', 'E7', 'A^7', 'F#m7', 'Bm7', 'E7', 'A7', 'D7', 'Gm7', 'C7', 'F6', 'Bb7', 'Am7', 'D7', 'Gm7', 'C7', 'Gm7', 'C7', 'Eb7', 'D7', 'Gm7', 'E%7', 'A7', 'Dm7', 'G7', 'Gm7', 'C7', 'F6', 'D7']","Schertzinger, Victor"
That Old Feeling,C,,,,,"['C6', 'C6', 'E%7', 'A7', 'Dm7', 'Dm7', 'Dm7', 'Fm7', 'Fm7', 'G7', 'G7', 'Am7', 'E7', 'E%7', 'A7', 'D7', 'Am7', 'D7', 'Ab7', 'Dm7', 'G7', 'C6', 'C6', 'E%7', 'A7', 'Dm7', 'Dm7', 'Dm7', 'F7', 'E7', 'E%7', 'E%7', 'A7', 'A7', 'Dm7', 'Fm7', 'Bb7', 'Am7', 'Am7', 'D7', 'D7', 'Dm7', 'G7', 'C6']","Fain, Sammy"
They Say,C,,,,,"['C^', 'Am7', 'C^7', 'Co7', 'Dm7', 'G7', 'C^', 'Am7', 'C^7', 'Co7', 'Dm7', 'G7', 'C7', 'F^', 'E7', 'Am7', 'D7', 'D7', 'G7', 'G#7', 'G7', 'C^', 'Am7', 'C^7', 'Co7', 'Dm7', 'G7', 'C^', 'Am7', 'C^7', 'Co7', 'Dm7', 'G7', 'C7', 'F^', 'E7', 'Am7', 'C^', 'Am7', 'C^7', 'Co7', 'Dm7', 'G7', 'C^']","Weiss, Stephan & Mann, Paul"
They Say It's Wonderful,F,,,,,"['Gm7', 'G%7', 'C7', 'F^7', 'Am7', 'Abo7', 'G%7', 'C7', 'F^7', 'Am7', 'D7', 'Gm7', 'G%7', 'C7', 'F^7', 'Am7', 'Abo7', 'G%7', 'C7', 'F^7', 'Cm7', 'F7', 'Bb^7', 'Eb7', 'F^7', 'Gm7', 'Am7', 'E7', 'Am7', 'B%7', 'E7', 'Am7', 'D7', 'Abm7', 'Db7', 'Gm7', 'G%7', 'C7', 'A%7', 'D7', 'Gm7', 'C7', 'F6', 'D7']","Berlin, Irving"
This Year's Kisses,G,,,,,"['G^7', 'G^7', 'G#o7', 'Am7', 'D7', 'Am7', 'D7', 'G^7', 'G#o7', 'Am7', 'D7', 'G^7', 'G^7', 'G#o7', 'Am7', 'D7', 'Am7', 'D7', 'G^7', 'Dm7', 'G7', 'C^7', 'C^7', 'Cm7', 'Cm7', 'G^7', 'A7', 'Am7', 'D7', 'G^7', 'G^7', 'G#o7', 'Am7', 'D7', 'Am7', 'D7', 'Bm7', 'E7', 'Am7', 'D7', 'G6', 'Bbo7', 'Am7', 'D7']","Berlin, Irving"
Where Or When,E-,,,,,"['Eb^', 'Eb6', 'Eb^7', 'Eb^7', 'Ab^7', 'Ab^7', 'Ab^7', 'Fm7', 'Bbsus', 'Eb^7', 'Bbsus', 'Eb^', 'Eb6', 'Eb^7', 'Eb^7', 'Ab^7', 'Ab^7', 'Ab^7', 'Fm7', 'Bbsus', 'Eb^7', 'D%7', 'G7', 'Cm7', 'Fm7', 'D%7', 'G7', 'Cm7', 'Fm7', 'B7', 'Bb7', 'Eb^', 'Eb6', 'G7', 'Cm7', 'Ab^7', 'C7', 'Fm7', 'C7', 'Fm7', 'Bb7', 'Eb6', 'Fm7', 'Bb7']","Rodgers, Richard"
Who Can I Turn To,E-,,,,,"['Eb6', 'Eb6', 'Fm7', 'Bb7', 'Eb^7', 'Fm7', 'Gm7', 'Ab^7', 'Bbm7', 'Eb7', 'Ab^7', 'Fm7', 'D7', 'Gm7', 'Cm7', 'Ab^7', 'D%7', 'Gm7', 'C7', 'Fm7', 'Bb7', 'Eb6', 'Eb6', 'Fm7', 'Bb7', 'Eb^7', 'Fm7', 'Gm7', 'Ab^7', 'Bbm7', 'Eb7', 'Ab^7', 'D%7', 'G7', 'Cm7', 'F7', 'F#o7', 'Eb^', 'F#o7', 'Fm7', 'Bb7', 'Eb6', 'Fm7', 'Bb7']","Newley, Anthony & Bricusse, Leslie"
Afternoon In Paris,C,,,,,"['C^7', 'Cm7', 'F7', 'Bb^7', 'Bbm7', 'Eb7', 'Ab^7', 'Dm7', 'G7', 'C^7', 'Dm7', 'G7', 'C^7', 'Cm7', 'F7', 'Bb^7', 'Bbm7', 'Eb7', 'Ab^7', 'Dm7', 'G7', 'C^7', 'C^7', 'Dm7', 'G7', 'C^7', 'A7', 'Dm7', 'G7', 'C^7', 'C^7', 'Dm7', 'G7', 'C^7', 'Cm7', 'F7', 'Bb^7', 'Bbm7', 'Eb7', 'Ab^7', 'Dm7', 'G7', 'C^7', 'Dm7', 'G7']","Lewis, John"
Among My Souvenirs,E-,,,,,"['Eb^7', 'Eo7', 'Fm7', 'Bb7', 'Eb^7', 'Eb^7', 'Gbo7', 'Fm7', 'Bb7', 'Eb^7', 'Eb^7', 'Eo7', 'Fm7', 'Bb7', 'Eb^7', 'Eb^7', 'Gbo7', 'Fm7', 'Bb7', 'Eb^7', 'Eb7', 'Ab^7', 'Fm7', 'Bb7', 'Eb^7', 'Cm7', 'Fm7', 'Bb7', 'G7', 'Cm7', 'F7', 'Bb7', 'Eb^7', 'Eo7', 'Fm7', 'Bb7', 'Bb7', 'Eb^7', 'Eb^7', 'Gbo7', 'Fm7', 'Bb7', 'Eb6', 'Fm7', 'Bb7']","Nicholls, Horatio"
Amor,C,,,,,"['C^', 'C6', 'C^7', 'C6', 'C^', 'C6', 'C^7', 'C6', 'Dm7', 'Dm^7', 'Dm7', 'G7', 'Dm7', 'G7', 'C^7', 'F#%7', 'B7', 'Em7', 'B7', 'B7', 'Em7', 'D7', 'G^7', 'Abo7', 'Am7', 'D7', 'Am7', 'D7', 'G7', 'C^', 'C6', 'C^7', 'C6', 'C^', 'C6', 'C^7', 'C6', 'Dm7', 'Dm^7', 'Dm7', 'G7', 'Dm7', 'G7', 'C^7', 'G7']","Ruiz, Gabriel"
April In Paris,C,,,,,"['Gsus', 'C^7', 'D%7', 'G7', 'C^7', 'C^7', 'Gm7', 'C7', 'F^7', 'F^7', 'B%7', 'E7', 'Am', 'Am', 'F#%7', 'B7', 'Bm7', 'E7', 'E%7', 'A7', 'F#%7', 'Fo7', 'C^', 'Ebo7', 'D%7', 'G7', 'C6', 'B%7', 'E7', 'Am', 'Am', 'F#%7', 'B7', 'E^7', 'Dm7', 'G7', 'Gsus', 'C^7', 'E%7', 'A7', 'D7', 'D%7', 'G7', 'C6', 'C6']","Duke, Vernon"
Aren't You Glad You're You,F,,,,,"['F^7', 'Gm7', 'Abo7', 'C7', 'F^', 'C7', 'F^', 'G7', 'C^', 'G7', 'C^', 'C7', 'F^7', 'Gm7', 'Abo7', 'A^', 'E7', 'A^7', 'Bm7', 'E7', 'A^7', 'Bm7', 'E7', 'A^7', 'C7', 'Cm7', 'F7', 'Bb^7', 'Bbm7', 'Ab^7', 'C7', 'F^7', 'Gm7', 'C7', 'F^7', 'Gm7', 'Abo7', 'C7', 'F^7', 'C7', 'F^7', 'D7', 'Gm7', 'C7', 'F^7']","van Heusen, Jimmy"
Bohemia After Dark,g,,,,,"['Gm7', 'A%7', 'D7', 'A%7', 'D7', 'A%7', 'D7', 'Gm7', 'A%7', 'D7', 'Gm7', 'D7', 'Gm7', 'Gm7', 'A%7', 'D7', 'A%7', 'D7', 'A%7', 'D7', 'Gm7', 'A%7', 'D7', 'Gm7', 'Gm7', 'C7', 'C7', 'C7', 'C7', 'C7', 'C7', 'A%7', 'D7', 'Gm7', 'A%7', 'D7', 'A%7', 'D7', 'A%7', 'D7', 'Gm7', 'A%7', 'D7', 'Gm7', 'Gm7']","Pettiford, Oscar"
Dewey Square,E-,,,,,"['Eb^7', 'Abm7', 'Eb7', 'Db7', 'C7', 'F7', 'Fm7', 'Bb7', 'Eb^7', 'C7', 'Fm7', 'Bb7', 'Eb^7', 'Abm7', 'Eb7', 'Db7', 'C7', 'F7', 'Fm7', 'Bb7', 'Eb^7', 'Bbm7', 'Eb7', 'Ab^7', 'Abm7', 'Db7', 'Eb^7', 'Eb^7', 'C7', 'F7', 'F7', 'Fm7', 'Bb7', 'Eb^7', 'Abm7', 'Eb7', 'Db7', 'C7', 'F7', 'Fm7', 'Bb7', 'Eb^7', 'C7', 'Fm7', 'Bb7']","Parker, Charlie"
Embraceable You,G,,,,,"['G^7', 'Bbo7', 'Am7', 'D7', 'Am7', 'Cm6', 'G^7', 'F#%7', 'B7', 'Em', 'Em', 'C#%7', 'F#7', 'Bm7', 'Em7', 'A7', 'D^7', 'Bm7', 'Em7', 'A7', 'Am7', 'D7', 'G^7', 'Bbo7', 'Am7', 'D7', 'Am7', 'Cm6', 'G^7', 'Dm7', 'G7', 'C^7', 'F#%7', 'B7', 'Em7', 'E^7', 'C#%7', 'Cm6', 'Bm7', 'E7', 'A%7', 'D7', 'G^7', 'Am7', 'D7']","Gershwin, George"
Favela,g,,,,,"['Gm7', 'F^', 'Gm7', 'F^', 'Gm7', 'F^', 'Gm7', 'Gm7', 'Cm7', 'F7', 'Bb^7', 'Bb7', 'E%7', 'Ebm6', 'Gm7', 'Dm7', 'Gm7', 'Gm7', 'Cm7', 'Gm7', 'Cm7', 'Gm7', 'Cm7', 'Gm7', 'Eb7', 'D7', 'C7', 'Gm7', 'F^', 'Gm7', 'F^', 'Gm7', 'F^', 'Gm7', 'Gm7', 'Cm7', 'F7', 'Bb^7', 'Bb7', 'E%7', 'Ebm6', 'Gm7', 'Dm7', 'Gm7', 'Gm7']","Jobim, Antonio Carlos"
Freckle Face,B-,,,,,"['Cm7', 'F7', 'Bb^7', 'G7', 'Cm7', 'F7', 'Bb^7', 'Dbo7', 'Cm7', 'F7', 'Bb^7', 'G7', 'Cm7', 'F7', 'Bb6', 'Bbo7', 'Bb6', 'Gbo7', 'Fm7', 'Bb7', 'Eb6', 'D7', 'Gm7', 'C7', 'Cm7', 'Fm7', 'Dbo7', 'Cm7', 'F7', 'Bb^7', 'Dbo7', 'Cm7', 'F7', 'D%7', 'G7', 'Cm7', 'Ebm7', 'Dm7', 'Dbo7', 'Cm7', 'F7', 'Bb6', 'Bbo7', 'Bb6', 'Dbo7']","Nestico, Sammy"
If I Could Be With You,E-,,,,,"['Eb^7', 'Eo7', 'Fm7', 'Bb7', 'Eb^7', 'Eo7', 'Fm7', 'Bb7', 'Eb6', 'Eb6', 'C7', 'F7', 'Bb7', 'Bb^', 'G7', 'C7', 'F7', 'Bb6', 'F7', 'Bb7', 'Fm7', 'Bb7', 'Bb7', 'Eb6', 'G7', 'C7', 'F7', 'Bb7', 'Eb6', 'C7', 'F7', 'Bb7', 'Fm7', 'Bb7', 'Bb7', 'Eb6', 'G7', 'C7', 'Ab6', 'Ao7', 'Eb6', 'C7', 'F7', 'Bb7', 'Eb6']","Johnson, James"
I'll Never Be The Same,G,,,,,"['Eb7', 'D7', 'Eb7', 'D7', 'G^7', 'G^7', 'Eb7', 'D7', 'Eb7', 'D7', 'G^7', 'G^7', 'Dm7', 'G7', 'Dm7', 'G7', 'Dm7', 'G7', 'C^7', 'Em7', 'A7', 'Em7', 'A7', 'Am7', 'D7', 'Eb7', 'D7', 'Eb7', 'D7', 'G^7', 'G^7', 'G7', 'G7', 'C^7', 'C^7', 'C^7', 'Cm7', 'B%7', 'E7', 'Eb7', 'D7', 'Eb7', 'D7', 'G^7', 'G^7']","Khan, Gus & Malneck, Matt & Signorelli, Frank"
I'm Getting Sentimental Over You,F,,,,,"['F^7', 'B%7', 'E7', 'A%7', 'D7', 'G7', 'C7', 'F6', 'D7', 'Gm7', 'C7', 'F^7', 'B%7', 'E7', 'A%7', 'D7', 'G7', 'C7', 'F6', 'B%7', 'E7', 'Am7', 'F#%7', 'B7', 'E7', 'Bm7', 'E7', 'Am7', 'D7', 'Gm7', 'C7', 'F^7', 'B%7', 'E7', 'A%7', 'D7', 'G7', 'C7', 'Am7', 'D7', 'G7', 'C7', 'F6', 'Gm7', 'C7']","Bassman, George"
Lucky Southern,D,,,,,"['D^7', 'D^7', 'D6', 'D^7', 'D^7', 'D^7', 'D6', 'D^7', 'D^7', 'D^7', 'E7', 'E7', 'G^7', 'Bb7', 'A7', 'D^7', 'D^7', 'Eb^7', 'D^7', 'D^7', 'E7', 'E7', 'G^7', 'Bb7', 'A7', 'D^7', 'D^7', 'F#m7', 'F#m7', 'Em7', 'Em7', 'F#m7', 'F#m7', 'Am7', 'D7', 'G^7', 'Gm7', 'D^', 'Fo7', 'Em7', 'Bb7', 'A7', 'D^7', 'D^7', 'Eb^7']","Jarrett, Keith"
Minor Mishap,b-,,,,,"['Bbm7', 'C7', 'F7', 'Bbm7', 'C7', 'F7', 'Bbm7', 'Ebm7', 'Bbm7', 'G%7', 'C7', 'Fm7', 'G7', 'C7', 'Fm7', 'G7', 'C7', 'Fm7', 'Bbm7', 'Fm7', 'G7', 'C7', 'Fm7', 'Fm7', 'Bb7', 'Eb^7', 'Eb^7', 'Ebm7', 'Ab7', 'Db^7', 'C7', 'F7', 'Bbm7', 'C7', 'F7', 'Bbm7', 'C7', 'F7', 'Bbm7', 'Ebm7', 'Bbm7', 'C7', 'F7', 'Bbm7', 'F7']","Flanagan, Tommy"
"Moontrane, The",D,,,,,"['Bb^7', 'Bb^7', 'Am7', 'Am7', 'C6', 'Fsus', 'Bb^7', 'Eb^7', 'D^7', 'Cm7', 'F7', 'Bb^7', 'Bb^7', 'Am7', 'Am7', 'C6', 'Fsus', 'Bb^7', 'Eb^7', 'D^7', 'Fm7', 'Bb7', 'Eb^7', 'Fm7', 'Bb7', 'Eb^7', 'Eb^7', 'Am7', 'Gm7', 'Fm7', 'Bbm7', 'Abm7', 'C#m7', 'Bm7', 'Bm7', 'Bb^7', 'Bb^7', 'Am7', 'Am7', 'C6', 'Fsus', 'Bb^7', 'Eb^7', 'D^7', 'D^7']","Shaw, Woody"
Nice 'n Easy,C,,,,,"['C^', 'C+', 'C6', 'C7', 'Dm7', 'A7', 'A7', 'Dm7', 'G7', 'C^', 'C+', 'C6', 'C7', 'Dm7', 'A7', 'A7', 'Dm7', 'B%7', 'E7', 'Am7', 'Am^7', 'Am', 'F^7', 'Em7', 'E%7', 'A7', 'Ab7', 'Dm7', 'G7', 'C^', 'C+', 'C6', 'C7', 'F^7', 'E7', 'Am7', 'D7', 'D#o7', 'Em7', 'Am7', 'Dm7', 'G7', 'C6', 'Dm7', 'G7']","Spence, Lew & Bergman, Alan & Keith, Mariyln"
Once I Loved,d,,,,,"['Gm7', 'C7', 'F^7', 'F#o7', 'Gm7', 'G#o7', 'Am7', 'Am7', 'Fm7', 'Bb7', 'Eb^7', 'Eb^7', 'E%7', 'A7', 'D^7', 'D7', 'Gm7', 'C7', 'F^7', 'F#o7', 'Gm7', 'G#o7', 'Am7', 'Am7', 'Fm7', 'Bb7', 'Eb^7', 'Eb^7', 'E%7', 'A7', 'D^7', 'G7', 'C^7', 'F7', 'Bb^7', 'Bb^7', 'Bo7', 'Bbm6', 'Am6', 'Ab7', 'G7', 'Gm7', 'A7', 'Dm6', 'Dm6']","Jobim, Antonio Carlos"
Segment,b-,,,,,"['Bbm7', 'C%7', 'F7', 'Bbm7', 'C%7', 'F7', 'Bbm7', 'C%7', 'F7', 'Bbm7', 'C%7', 'F7', 'Bbm7', 'C%7', 'F7', 'Bbm7', 'C%7', 'F7', 'Bbm7', 'C%7', 'F7', 'Bbm7', 'C%7', 'F7', 'F%7', 'Bb7', 'Ebm7', 'Ebm7', 'Eb%7', 'Ab7', 'Db^7', 'C%7', 'F7', 'Bbm7', 'C%7', 'F7', 'Bbm7', 'C%7', 'F7', 'Bbm7', 'C%7', 'F7', 'Bbm7', 'C%7', 'F7']","Parker, Charlie"
"Sweetest Sounds, The",c,,,,,"['Cm7', 'Cm7', 'Fm7', 'Fm7', 'Ab7', 'G7', 'Cm7', 'D%7', 'G7', 'Cm7', 'Cm7', 'Fm7', 'Fm7', 'Fm7', 'Bb7', 'Eb^7', 'D%7', 'G7', 'Cm7', 'Cm7', 'Fm7', 'Fm7', 'Ab7', 'G7', 'Bbm7', 'Eb7', 'Ab^7', 'A%7', 'D7', 'Gm7', 'C7', 'Fm7', 'Bb7', 'Eb^7', 'Bbm7', 'Eb7', 'Ab6', 'Ab6', 'Fm7', 'Bbsus', 'Bb7', 'Eb6', 'Eb6', 'D%7', 'G7']","Rodgers, Richard"
"Tisket A Tasket, A",E-,,,,,"['Eb^7', 'Eb^7', 'Eb^7', 'Ab^7', 'Gm7', 'C7', 'Fm7', 'Bb7', 'Fm7', 'Bb7', 'Eb^7', 'Bb7', 'Eb^7', 'Eb^7', 'Eb^7', 'Ab^7', 'Gm7', 'C7', 'Fm7', 'Bb7', 'Fm7', 'Bb7', 'Eb^7', 'Eb7', 'Ab6', 'Abm6', 'Eb^7', 'Eb7', 'Ab6', 'Abm6', 'Gm7', 'C7', 'Fm7', 'Bb7', 'Eb^7', 'Eb^7', 'Eb^7', 'Ab^7', 'Gm7', 'C7', 'Fm7', 'Bb7', 'Fm7', 'Bb7', 'Eb^7']",Traditional
Too Close For Comfort,C,,,,,"['C^7', 'B7', 'E%7', 'A7', 'D%7', 'G7', 'C^7', 'Dm7', 'G7', 'C^7', 'B7', 'E%7', 'A7', 'D%7', 'G7', 'C^7', 'Gm7', 'C7', 'F7', 'F#o7', 'C^', 'Gm7', 'C7', 'F7', 'F#o7', 'Ab7', 'Dm7', 'G7', 'C^7', 'B7', 'E%7', 'A7', 'D%7', 'G7', 'C^7', 'Gm7', 'C7', 'F7', 'F#o7', 'A%7', 'D7', 'Ab7', 'G7', 'C^7', 'C^7']","Bock, Jerry & Weiss, George David & Holofcener, Larry"
West Coast Blues,B-,,,,,"['Bb7', 'Ab7', 'Bb7', 'Bm7', 'E7', 'Eb7', 'Eb7', 'Bb7', 'Bb7', 'F7', 'Eb7', 'Bb7', 'Bb7', 'Bb7', 'Ab7', 'Bb7', 'Bm7', 'E7', 'Eb7', 'Eb7', 'Bb7', 'Bb7', 'F7', 'Eb7', 'Bb7', 'Bb7', 'Bb7', 'Ab7', 'Bb7', 'Bm7', 'E7', 'Eb7', 'Ebm7', 'Ab7', 'Dm7', 'G7', 'C#m7', 'F#7', 'Cm7', 'Cm7', 'F7', 'Bb^7', 'Db7', 'Gb^7', 'F7']","Montgomery, Wes"
Yardbird Suite,C,,,,,"['C6', 'Fm7', 'Bb7', 'C7', 'Bb7', 'A7', 'D7', 'G7', 'Em7', 'A7', 'Dm7', 'G7', 'C6', 'Fm7', 'Bb7', 'C7', 'Bb7', 'A7', 'D7', 'G7', 'C6', 'F#%7', 'B7', 'Em7', 'F#%7', 'B7', 'Em7', 'A7', 'Dm7', 'E%7', 'A7', 'D7', 'Dm7', 'G7', 'C6', 'Fm7', 'Bb7', 'C7', 'Bb7', 'A7', 'D7', 'G7', 'C6', 'Dm7', 'G7']","Parker, Charlie"
Beauty And The Beast,F,,,,,"['F7', 'F7', 'F7', 'F7', 'F7', 'F7', 'F7', 'F7', 'E7', 'Am7', 'B7', 'E7', 'Am7', 'Gm7', 'C7', 'Fm7', 'Ebm7', 'Ab7', 'Db^7', 'C7', 'F7', 'F7', 'F7', 'F7', 'E7', 'Am7', 'B7', 'E7', 'Am7', 'Gm7', 'C7', 'Fm7', 'Ebm7', 'Ab7', 'Db^7', 'C7', 'Bm7', 'E7', 'Am7', 'D7', 'G%7', 'C7', 'F7', 'F7', 'F7', 'F7']","Shorter, Wayne"
Blue Skies,C,,,,,"['Am', 'Am^7', 'Am7', 'Am6', 'C^7', 'A7', 'Dm7', 'G7', 'C6', 'B%7', 'E7', 'Am', 'Am^7', 'Am7', 'Am6', 'C^7', 'A7', 'Dm7', 'G7', 'C6', 'C6', 'C^7', 'Fm6', 'C^7', 'Fm6', 'C^7', 'G7', 'C6', 'C^7', 'Fm6', 'C^7', 'Fm6', 'C^7', 'B%7', 'E7', 'Am', 'Am^7', 'Am7', 'Am6', 'C^7', 'A7', 'Dm7', 'G7', 'C6', 'B%7', 'E7']","Berlin, Irving"
Blue Turning Grey Over You,B-,,,,,"['Bb6', 'E%7', 'A7', 'D%7', 'G7', 'C7', 'F7', 'Bb6', 'Bo7', 'Cm7', 'F7', 'Bb6', 'E%7', 'A7', 'D%7', 'G7', 'C7', 'F7', 'Bb6', 'Ebm7', 'Bb6', 'Fm7', 'Bb7', 'Eb^7', 'C%7', 'F7', 'Bb6', 'Bb7', 'Eb6', 'G7', 'Cm7', 'C7', 'F6', 'Fo7', 'Cm7', 'F7', 'Bb6', 'E%7', 'A7', 'D%7', 'G7', 'C7', 'F7', 'Bb6', 'Ebm7', 'Bb6']","Waller, Fats"
Deed I Do,C,,,,,"['C6', 'Gm7', 'C7', 'F^7', 'Bb7', 'Em7', 'A7', 'Dm7', 'G7', 'C6', 'Am7', 'Dm7', 'G7', 'C6', 'Gm7', 'C7', 'F^7', 'Bb7', 'Em7', 'A7', 'Dm7', 'G7', 'C6', 'Gm7', 'C7', 'F^7', 'F^7', 'Bm7', 'E7', 'A7', 'A7', 'D7', 'Dm7', 'G7', 'C6', 'Gm7', 'C7', 'F^7', 'Bb7', 'Em7', 'A7', 'Dm7', 'G7', 'C6', 'Dm7', 'G7']","Rose, Fred"
Everybody's Song But My Own,c,,,,,"['Ab^', 'G7', 'Cm7', 'Cm7', 'A%7', 'D7', 'Gm7', 'B^7', 'Gm7', 'E%7', 'A7', 'D^7', 'Eb^7', 'D^7', 'C#%7', 'F#7', 'Bm7', 'Bm7', 'Ab%7', 'Db7', 'Gb^7', 'C7', 'F^7', 'B7', 'Ab^', 'G7', 'Cm7', 'Cm7', 'A%7', 'D7', 'Gm7', 'Gm7', 'E%7', 'A7', 'Dm7', 'Db^7', 'Cm7', 'F7', 'Bb^7', 'B^7', 'Bb^7', 'B^7', 'Bb^7', 'B^7', 'Bb^7', 'B^7']","Wheeler, Kenny"
Falling In Love Again,C,,,,,"['C^7', 'C7', 'F^7', 'D%7', 'C^7', 'E%7', 'A7', 'Dm7', 'G7', 'C6', 'Dm7', 'G7', 'C^7', 'C7', 'F^7', 'D%7', 'C^7', 'E%7', 'A7', 'Dm7', 'G7', 'C6', 'F#%7', 'B7', 'E7', 'B%7', 'E7', 'Am7', 'Am7', 'D7', 'Am7', 'D7', 'Dm7', 'G7', 'C^7', 'C7', 'F^7', 'D%7', 'C^7', 'E%7', 'A7', 'Dm7', 'G7', 'C6', 'Dm7', 'G7']","Hollander, Frederick"
Flamingo,F,,,,,"['F^7', 'Dm7', 'Gm7', 'C7', 'Fm7', 'Bb7', 'Db7', 'Gm7', 'C7', 'F^7', 'D7', 'Gm7', 'C7', 'F^7', 'Dm7', 'Gm7', 'C7', 'Fm7', 'Bb7', 'Db7', 'Gm7', 'C7', 'F6', 'Bbm6', 'F6', 'Bbm7', 'Eb7', 'Ab^7', 'Ao7', 'Bbm7', 'Eb7', 'Gm7', 'C7', 'F^7', 'Dm7', 'Gm7', 'C7', 'Fm7', 'Bb7', 'Db7', 'Gm7', 'C7', 'F^7', 'D7', 'Gm7', 'C7']","Grouya, Ted"
"For You, For Me, For Evermore",E-,,,,,"['Eb^7', 'F7', 'Fm7', 'Bb7', 'Fm7', 'Bb7', 'Eb^7', 'F7', 'Fm7', 'Bb7', 'Fm7', 'Bb7', 'Bbm7', 'Eb7', 'Bbm7', 'Eb7', 'Ab6', 'Cm7', 'F7', 'B7', 'Bb7', 'Bb7', 'Eb^7', 'F7', 'Fm7', 'Bb7', 'Fm7', 'Bb7', 'Bbm7', 'Eb7', 'Ab6', 'Db7', 'Eb^7', 'Gm7', 'C7', 'Fm7', 'Bb7', 'Eb^7', 'Cm7', 'F7', 'Fm7', 'Eb6', 'Bb7', 'Eb6', 'F7', 'Bb7']","Gershwin, George"
"Gentle Rain, The",a,,,,,"['Am6', 'Am6', 'E7', 'E7', 'Gm6', 'Gm6', 'C7', 'C7', 'F6', 'F6', 'F#%7', 'B7', 'E%7', 'A7', 'D%7', 'B%7', 'E7', 'Am6', 'Bb7', 'Am6', 'Am6', 'E7', 'E7', 'Gm6', 'Gm6', 'C7', 'C7', 'F6', 'F6', 'F#%7', 'B7', 'E%7', 'A7', 'D%7', 'B%7', 'E7', 'Am7', 'D7', 'Gm7', 'C7', 'F6', 'C7', 'F6', 'Em7', 'Am6', 'Bb7']","Bonfa, Luiz"
I'll Get By (As Long As I Have You),C,,,,,"['C6', 'C6', 'G7', 'C^7', 'Bm7', 'E7', 'E7', 'F6', 'F6', 'A7', 'Dm7', 'D7', 'D7', 'G7', 'G7', 'Ebo7', 'G7', 'G7', 'G7', 'G7', 'Em7', 'Eb7', 'Dm7', 'G7', 'C6', 'C6', 'G7', 'C^7', 'Bm7', 'E7', 'E7', 'F6', 'F6', 'A7', 'Dm7', 'Bm7', 'E7', 'Am7', 'A7', 'A7', 'Dm7', 'G7', 'G7', 'C6', 'Dm7', 'G7']","Ahlert, Fred"
I'm Glad There Is You,F,,,,,"['F^7', 'F^7', 'Fm7', 'Fm7', 'Gm7', 'C7', 'F^7', 'D7', 'Gm7', 'C7', 'F^7', 'Gm7', 'Am7', 'Abo7', 'Gm7', 'C7', 'F^7', 'D7', 'Gm7', 'C7', 'Cm7', 'F7', 'Bb^7', 'Bbm7', 'Eb7', 'F^7', 'E%7', 'A7', 'Dm7', 'G7', 'Gm7', 'C7', 'F^7', 'F^7', 'Fm7', 'Fm7', 'Gm7', 'C7', 'Cm7', 'F7', 'Bb^7', 'Gm7', 'C7', 'F6', 'Gm7', 'C7']","Dorsey, Jimmy"
Manoir de Mes Reves (Django's Castle),E-,,,,,"['Eb^7', 'Eb^7', 'Bb7', 'Eb^7', 'Bb7', 'Eb^7', 'Bb7', 'Eb^7', 'Eb^7', 'Bb7', 'Eb7', 'Eb7', 'Eb7', 'Ab^7', 'Ab^7', 'Ao7', 'Eb^7', 'Eb^7', 'Cm7', 'F7', 'B7', 'B7', 'Bb7', 'Eb^7', 'Eb^7', 'Bb7', 'Eb^7', 'Bb7', 'Eb^7', 'Bb7', 'Eb^7', 'Eb^7', 'Bb7', 'Eb7', 'Eb7', 'Eb7', 'Ab^7', 'Ab^7', 'C7', 'F7', 'F7', 'B7', 'B7', 'Bb7', 'Eb6', 'Bb7']","Reinhardt, Django"
Maybe I Should Change My Ways,B-,,,,,"['C%7', 'F7', 'Bb^7', 'Eb7', 'D7', 'G7', 'C7', 'B7', 'Bb7', 'Eb^7', 'Eb^7', 'Eb^7', 'Ebm6', 'Ab7', 'Bb^7', 'Dm7', 'Db7', 'C%7', 'G7', 'C7', 'F7', 'Bb^7', 'Bb^7', 'C%7', 'F7', 'Bb^7', 'Eb7', 'D7', 'G7', 'C7', 'B7', 'Bb7', 'Eb^7', 'Eb^7', 'Eb^7', 'Ebm6', 'Ab7', 'Bb^7', 'Dm7', 'Db7', 'C%7', 'G7', 'C7', 'F7', 'Bb6', 'Bb6']","Ellington, Duke"
Red Top,G,,,,,"['G6', 'G6', 'C^', 'C#%7', 'G^', 'C^', 'G^', 'G7', 'C7', 'Cm7', 'C#%7', 'G^', 'C^', 'B%7', 'E7', 'Am7', 'D7', 'G^', 'G^', 'C^', 'C#%7', 'G^', 'C^', 'G6', 'G6', 'C^', 'C#%7', 'G^', 'C^', 'G^', 'G7', 'C7', 'Cm7', 'C#%7', 'G^', 'C^', 'B%7', 'E7', 'Am7', 'D7', 'G^', 'G^', 'C^', 'C#%7', 'G^', 'C^']","Hampton, Lionel"
