composers	title	key	tempo	style	checked	in_progress	Notes	turnaround	marked_	chords
Jobim, Antonio Carlos	Corcovado	C	140	Jazz-Bossa Nova	TRUE	TRUE		NT	|Am6|Am6|Abo7|Abo7|Gm7|C7|F^7 F^7|F^7|Fm7|Bb7|Em7|A7|D7|D7|Dm7|G7|Am6|Am6|Abo7|Abo7|Gm7|C7|F^7 F^7|F^7|Fm7|Bb7|Em7|Am7|Dm7|G7|Em7|A7|Dm7|G7|C6|C6|	Am6, Am6, Abo7, Abo7, Gm7, C7, F^7, F^7, F^7, Fm7, Bb7, Em7, A7, D7, D7, Dm7, G7, Am6, Am6, Abo7, Abo7, Gm7, C7, F^7, F^7, F^7, Fm7, Bb7, Em7, Am7, Dm7, G7, Em7, A7, Dm7, G7, C6, C6
Schwartz, Arthur	Dancing In The Dark	C	100	Jazz-Medium Swing	TRUE	TRUE		2	|C^7|C^7|Co7|Co7|Dm7|Dm7|D%7|G7|C^7|Cm7|E%7|A7|D%7|D%7|D%7 Ab7|G7|C^7|C^7|Co7|Co7|Dm7|Dm7|D%7|D%7 G7|C^7|Cm7|Eb7|Db7|C6|D%7 Gsus|C6|Dm7 G7|	C^7, C^7, Co7, Co7, Dm7, Dm7, D%7, G7, C^7, Cm7, E%7, A7, D%7, D%7, D%7, Ab7, G7, C^7, C^7, Co7, Co7, Dm7, Dm7, D%7, D%7, G7, C^7, Cm7, Eb7, Db7, C6, D%7, Gsus, C6, Dm7, G7
Kern, Jerome	Dearly Beloved	C	100	Jazz-Medium Swing	TRUE	TRUE		2	|Dm7|G7|Dm7|G7|Dm7|G7|Dm7|G7|C6|C6|Dm7|G7|C^7|C^7|Ebm7 Ab7|Ebm7 Ab7|Dm7|G7|Dm7|G7|Dm7|G7|Dm7|G7|C6|C6|D7|D7|Dm7|G7|C6|Em7 A7|	Dm7, G7, Dm7, G7, Dm7, G7, Dm7, G7, C6, C6, Dm7, G7, C^7, C^7, Ebm7, Ab7, Ebm7, Ab7, Dm7, G7, Dm7, G7, Dm7, G7, Dm7, G7, C6, C6, D7, D7, Dm7, G7, C6, Em7, A7
Bloom, Rube	Don't Worry 'Bout Me	A-	60	Jazz-Ballad Swing	TRUE	TRUE		2	|Bbm7|Eb7|Ab^7|Ab^7|Bbm7|Eb7|Ab6|Cm7 Bo7|Bbm7|Dbm6|Gb7|Gb7 G%7&C7|Fm7|Bb7|Bbm7|Eb7|Bbm7|Eb7|Ab^7|Ab^7|Ab^7|Ebm7 Ab7|Db^7|Db^7|Db^7|Gb7|Cm7|F7|Bbm7|Eb7|Ab6|Cm7 F7|	Bbm7, Eb7, Ab^7, Ab^7, Bbm7, Eb7, Ab6, Cm7, Bo7, Bbm7, Dbm6, Gb7, Gb7, G%7, C7, Fm7, Bb7, Bbm7, Eb7, Bbm7, Eb7, Ab^7, Ab^7, Ab^7, Ebm7, Ab7, Db^7, Db^7, Db^7, Gb7, Cm7, F7, Bbm7, Eb7, Ab6, Cm7, F7
Charlie, Parker	Donna Lee	A-	240	Jazz-Up Tempo Swing	TRUE	TRUE		2	|Ab^7|F7|Bb7|Bb7|Bbm7|Eb7|Ab^7|Ebm7 Ab7|Db^7|Gb7|Ab^7|F7|Bb7|Bb7|Bbm7|Eb7|Ab^7|F7|Bb7|Bb7|G%7|C7|Fm|C7|Fm|C7|Fm|Bo7|Cm7 F7|Bbm7 Eb7|Ab^7|Bbm7 Eb7|	Ab^7, F7, Bb7, Bb7, Bbm7, Eb7, Ab^7, Ebm7, Ab7, Db^7, Gb7, Ab^7, F7, Bb7, Bb7, Bbm7, Eb7, Ab^7, F7, Bb7, Bb7, G%7, C7, Fm, C7, Fm, C7, Fm, Bo7, Cm7, F7, Bbm7, Eb7, Ab^7, Bbm7, Eb7
Coltrane, John	Equinox	c#	80	Jazz-Slow Swing	TRUE	TRUE		NT	|C#m7|C#m7|C#m7|C#m7|F#m7|F#m7|C#m7|C#m7|A7|G#7|C#m7|C#m7|	C#m7, C#m7, C#m7, C#m7, F#m7, F#m7, C#m7, C#m7, A7, G#7, C#m7, C#m7
McHugh, Jimmy	Exactly Like You	C	100	Jazz-Medium Swing	TRUE	TRUE		2	|C6|C6|D7|D7|G7|G7|C6|Dm7 G7|C6|C6|D7|D7|G7|G7|C6|C7|F^7|Bb7|C6|Am7|Dm7|Fm6 G7|Em7 Ebo7|Dm7 G7|C6|C6|D7|D7|G7|G7|C6|Dm7 G7|	C6, C6, D7, D7, G7, G7, C6, Dm7, G7, C6, C6, D7, D7, G7, G7, C6, C7, F^7, Bb7, C6, Am7, Dm7, Fm6, G7, Em7, Ebo7, Dm7, G7, C6, C6, D7, D7, G7, G7, C6, Dm7, G7
Swift, Kay	Fine And Dandy	F	160	Jazz-Medium Up Swing	TRUE	TRUE		0	|F^7|Abo7|Gm7|C7|F^7|Abo7|Gm7|C7|F7|F7|Bb7|Bb7|Eb7|Eb7|Ab7|Gm7 C7|F^7|Abo7|Gm7|C7|F^7|Abo7|Gm7|C7|Cm7|F7|Bb^7|Bbm7|G7|Gm7 C7|F^7|F^7|	F^7, Abo7, Gm7, C7, F^7, Abo7, Gm7, C7, F7, F7, Bb7, Bb7, Eb7, Eb7, Ab7, Gm7, C7, F^7, Abo7, Gm7, C7, F^7, Abo7, Gm7, C7, Cm7, F7, Bb^7, Bbm7, G7, Gm7, C7, F^7, F^7
Kern, Jerome	Fine Romance, A	C	100	Jazz-Medium Swing	TRUE	TRUE		2	|C6|C#o7|Dm6|D#o7|Em7|Am7|Dm7|G7|C6|Ebo7|Dm7|G7|Em7|A7|D7|G7|C6|C#o7|Dm6|D#o7|Em7|Am7|Dm7|G7|C6|C7|F^7|F#%7 B7|Em7 A7|Dm7 G7|C6|Dm7 G7|	C6, C#o7, Dm6, D#o7, Em7, Am7, Dm7, G7, C6, Ebo7, Dm7, G7, Em7, A7, D7, G7, C6, C#o7, Dm6, D#o7, Em7, Am7, Dm7, G7, C6, C7, F^7, F#%7, B7, Em7, A7, Dm7, G7, C6, Dm7, G7
Bloom, Rube	Fools Rush In	C	80	Jazz-Slow Swing	TRUE	TRUE		3	|Dm7|G7|C^7|Am7|Dm7|G7|C^7|Am7|Dm7|G7|C6|Am7|D7|D7|G7|G7|Dm7|G7|C^7|Am7|Dm7|G7|E%7|A7|Dm7|Fm6|C^7|Am7|Dm7|G7|C6 Am7|Dm7 G7|	Dm7, G7, C^7, Am7, Dm7, G7, C^7, Am7, Dm7, G7, C6, Am7, D7, D7, G7, G7, Dm7, G7, C^7, Am7, Dm7, G7, E%7, A7, Dm7, Fm6, C^7, Am7, Dm7, G7, C6, Am7, Dm7, G7
